User ID,Gender,Age,EstimatedSalary,Purchased
15624510,Male,19,19000,1
15810944,Male,35,20000,2
15668575,Female,26,43000,3
15603246,Female,27,57000,3
15804002,Male,19,76000,2
15728773,Male,27,58000,1
15598044,Female,27,84000,2
15694829,Female,32,150000,2
15600575,Male,25,33000,2
15727311,Female,35,65000,2
15570769,Female,26,80000,1
15606274,Female,26,52000,1
15746139,Male,20,86000,2
15704987,Male,32,18000,2
15628972,Male,18,82000,3
15697686,Male,29,80000,1
15733883,Male,47,25000,1
15617482,Male,45,26000,1
15704583,Male,46,28000,2
15621083,Female,48,29000,3
15649487,Male,45,22000,3
15736760,Female,47,49000,3
15714658,Male,48,41000,2
15599081,Female,45,22000,2
15705113,Male,46,23000,3
15631159,Male,47,20000,1
15792818,Male,49,28000,3
15633531,Female,47,30000,3
15744529,Male,29,43000,1
15669656,Male,31,18000,2
15581198,Male,31,74000,1
15729054,Female,27,137000,1
15573452,Female,21,16000,3
15776733,Female,28,44000,1
15724858,Male,27,90000,3
15713144,Male,35,27000,3
15690188,Female,33,28000,2
15689425,Male,30,49000,2
15671766,Female,26,72000,1
15782806,Female,27,31000,2
15764419,Female,27,17000,1
15591915,Female,33,51000,2
15772798,Male,35,108000,3
15792008,Male,30,15000,2
15715541,Female,28,84000,3
15639277,Male,23,20000,1
15798850,Male,25,79000,2
15776348,Female,27,54000,3
15727696,Male,30,135000,3
15793813,Female,31,89000,2
15694395,Female,24,32000,3
15764195,Female,18,44000,2
15744919,Female,29,83000,3
15671655,Female,35,23000,2
15654901,Female,27,58000,1
15649136,Female,24,55000,3
15775562,Female,23,48000,2
15807481,Male,28,79000,3
15642885,Male,22,18000,2
15789109,Female,32,117000,1
15814004,Male,27,20000,3
15673619,Male,25,87000,3
15595135,Female,23,66000,3
15583681,Male,32,120000,3
15605000,Female,59,83000,2
15718071,Male,24,58000,1
15679760,Male,24,19000,1
15654574,Female,23,82000,2
15577178,Female,22,63000,1
15595324,Female,31,68000,1
15756932,Male,25,80000,1
15726358,Female,24,27000,1
15595228,Female,20,23000,2
15782530,Female,33,113000,2
15592877,Male,32,18000,2
15651983,Male,34,112000,1
15746737,Male,18,52000,1
15774179,Female,22,27000,2
15667265,Female,28,87000,3
15655123,Female,26,17000,1
15595917,Male,30,80000,2
15668385,Male,39,42000,1
15709476,Male,20,49000,2
15711218,Male,35,88000,1
15798659,Female,30,62000,3
15663939,Female,31,118000,1
15694946,Male,24,55000,1
15631912,Female,28,85000,2
15768816,Male,26,81000,3
15682268,Male,35,50000,1
15684801,Male,22,81000,2
15636428,Female,30,116000,3
15809823,Male,26,15000,1
15699284,Female,29,28000,3
15786993,Female,29,83000,1
15709441,Female,35,44000,1
15710257,Female,35,25000,2
15582492,Male,28,123000,2
15575694,Male,35,73000,1
15756820,Female,28,37000,3
15766289,Male,27,88000,2
15593014,Male,28,59000,3
15584545,Female,32,86000,3
15675949,Female,33,149000,2
15672091,Female,19,21000,1
15801658,Male,21,72000,3
15706185,Female,26,35000,3
15789863,Male,27,89000,2
15720943,Male,26,86000,1
15697997,Female,38,80000,1
15665416,Female,39,71000,3
15660200,Female,37,71000,2
15619653,Male,38,61000,3
15773447,Male,37,55000,3
15739160,Male,42,80000,3
15689237,Male,40,57000,1
15679297,Male,35,75000,3
15591433,Male,36,52000,3
15642725,Male,40,59000,3
15701962,Male,41,59000,2
15811613,Female,36,75000,3
15741049,Male,37,72000,3
15724423,Female,40,75000,1
15574305,Male,35,53000,2
15678168,Female,41,51000,1
15697020,Female,39,61000,1
15610801,Male,42,65000,1
15745232,Male,26,32000,3
15722758,Male,30,17000,1
15792102,Female,26,84000,2
15675185,Male,31,58000,1
15801247,Male,33,31000,2
15725660,Male,30,87000,1
15638963,Female,21,68000,1
15800061,Female,28,55000,3
15578006,Male,23,63000,3
15668504,Female,20,82000,3
15687491,Male,30,107000,1
15610403,Female,28,59000,2
15741094,Male,19,25000,3
15807909,Male,19,85000,2
15666141,Female,18,68000,3
15617134,Male,35,59000,2
15783029,Male,30,89000,3
15622833,Female,34,25000,3
15746422,Female,24,89000,2
15750839,Female,27,96000,3
15749130,Female,41,30000,1
15779862,Male,29,61000,3
15767871,Male,20,74000,2
15679651,Female,26,15000,1
15576219,Male,41,45000,3
15699247,Male,31,76000,1
15619087,Female,36,50000,3
15605327,Male,40,47000,1
15610140,Female,31,15000,2
15791174,Male,46,59000,1
15602373,Male,29,75000,2
15762605,Male,26,30000,1
15598840,Female,32,135000,2
15744279,Male,32,100000,3
15670619,Male,25,90000,2
15599533,Female,37,33000,1
15757837,Male,35,38000,1
15697574,Female,33,69000,2
15578738,Female,18,86000,2
15762228,Female,22,55000,1
15614827,Female,35,71000,2
15789815,Male,29,148000,2
15579781,Female,29,47000,3
15587013,Male,21,88000,2
15570932,Male,34,115000,3
15794661,Female,26,118000,1
15581654,Female,34,43000,3
15644296,Female,34,72000,2
15614420,Female,23,28000,2
15609653,Female,35,47000,3
15594577,Male,25,22000,2
15584114,Male,24,23000,1
15673367,Female,31,34000,1
15685576,Male,26,16000,1
15774727,Female,31,71000,3
15694288,Female,32,117000,3
15603319,Male,33,43000,2
15759066,Female,33,60000,1
15814816,Male,31,66000,1
15724402,Female,20,82000,1
15571059,Female,33,41000,2
15674206,Male,35,72000,3
15715160,Male,28,32000,2
15730448,Male,24,84000,1
15662067,Female,19,26000,3
15779581,Male,29,43000,1
15662901,Male,19,70000,3
15689751,Male,28,89000,1
15667742,Male,34,43000,1
15738448,Female,30,79000,3
15680243,Female,20,36000,1
15745083,Male,26,80000,2
15708228,Male,35,22000,1
15628523,Male,35,39000,1
15708196,Male,49,74000,2
15735549,Female,39,134000,2
15809347,Female,41,71000,1
15660866,Female,58,101000,1
15766609,Female,47,47000,2
15654230,Female,55,130000,3
15794566,Female,52,114000,2
15800890,Female,40,142000,3
15697424,Female,46,22000,3
15724536,Female,48,96000,3
15735878,Male,52,150000,1
15707596,Female,59,42000,1
15657163,Male,35,58000,2
15622478,Male,47,43000,2
15779529,Female,60,108000,3
15636023,Male,49,65000,2
15582066,Male,40,78000,2
15666675,Female,46,96000,1
15732987,Male,59,143000,2
15789432,Female,41,80000,1
15663161,Male,35,91000,2
15694879,Male,37,144000,3
15593715,Male,60,102000,3
15575002,Female,35,60000,2
15622171,Male,37,53000,3
15795224,Female,36,126000,1
15685346,Male,56,133000,3
15691808,Female,40,72000,1
15721007,Female,42,80000,1
15794253,Female,35,147000,1
15694453,Male,39,42000,3
15813113,Male,40,107000,2
15614187,Male,49,86000,1
15619407,Female,38,112000,2
15646227,Male,46,79000,2
15660541,Male,40,57000,1
